HOST,PARASITOID,HEATWAVE,F,W
Simulans,NoWasp,After,40,0
Simulans,NoWasp,After,40,0
Simulans,Ganaspis,After,3,39
Simulans,Asobara,After,4,23
Simulans,Asobara,After,1,21
Simulans,Leptopilina,After,4,26
Simulans,Ganaspis,After,4,32
Simulans,Leptopilina,After,3,18
Simulans,NoWasp,After,45,0
Simulans,Asobara,After,0,29
Simulans,Ganaspis,After,2,35
Simulans,NoWasp,After,44,0
Simulans,Asobara,After,6,23
Simulans,Leptopilina,After,6,30
Simulans,Ganaspis,After,1,30
Simulans,Leptopilina,After,1,29
Simulans,NoWasp,After,43,0
Simulans,Asobara,After,0,24
Simulans,NoWasp,After,41,0
Simulans,Asobara,After,5,10
Simulans,Leptopilina,After,5,21
Simulans,Leptopilina,After,2,24
Simulans,Ganaspis,After,1,36
Simulans,Ganaspis,After,0,41
Birchii,NoWasp,After,19,0
Birchii,NoWasp,After,14,0
Birchii,Asobara,After,3,21
Birchii,Asobara,After,4,5
Birchii,Ganaspis,After,0,18
Birchii,Ganaspis,After,1,12
Birchii,Leptopilina,After,1,5
Birchii,Leptopilina,After,2,4
Birchii,NoWasp,After,17,0
Birchii,NoWasp,After,10,0
Birchii,Asobara,After,1,18
Birchii,Asobara,After,4,16
Birchii,Ganaspis,After,2,7
Birchii,Ganaspis,After,0,13
Birchii,Leptopilina,After,1,3
Birchii,Leptopilina,After,1,12
Birchii,NoWasp,After,9,0
Birchii,NoWasp,After,17,0
Birchii,Asobara,After,2,11
Birchii,Asobara,After,1,12
Birchii,Ganaspis,After,0,8
Birchii,Ganaspis,After,0,13
Birchii,Leptopilina,After,2,3
Birchii,Leptopilina,After,3,1
Bipectinata,NoWasp,After,42,0
Bipectinata,NoWasp,After,41,0
Bipectinata,Ganaspis,After,32,0
Bipectinata,Asobara,After,20,0
Bipectinata,Asobara,After,18,0
Bipectinata,Leptopilina,After,35,0
Bipectinata,Ganaspis,After,35,0
Bipectinata,Leptopilina,After,30,0
Bipectinata,NoWasp,After,40,0
Bipectinata,Asobara,After,26,0
Bipectinata,Ganaspis,After,40,0
Bipectinata,NoWasp,After,25,0
Bipectinata,Asobara,After,37,0
Bipectinata,Leptopilina,After,31,0
Bipectinata,Ganaspis,After,39,0
Bipectinata,Leptopilina,After,32,0
Bipectinata,NoWasp,After,38,0
Bipectinata,Asobara,After,30,0
Bipectinata,NoWasp,After,39,0
Bipectinata,Asobara,After,36,0
Bipectinata,Leptopilina,After,40,0
Bipectinata,Leptopilina,After,38,0
Bipectinata,Ganaspis,After,42,0
Bipectinata,Ganaspis,After,39,1
Simulans,NoWasp,During,43,0
Simulans,NoWasp,During,44,0
Simulans,Ganaspis,During,0,32
Simulans,Asobara,During,27,1
Simulans,Asobara,During,25,2
Simulans,Leptopilina,During,13,13
Simulans,Ganaspis,During,1,31
Simulans,Leptopilina,During,4,23
Simulans,NoWasp,During,43,0
Simulans,Asobara,During,30,1
Simulans,Ganaspis,During,0,28
Simulans,NoWasp,During,37,0
Simulans,Asobara,During,32,1
Simulans,Leptopilina,During,9,15
Simulans,Ganaspis,During,1,35
Simulans,Leptopilina,During,3,24
Simulans,NoWasp,During,42,0
Simulans,Asobara,During,25,1
Simulans,NoWasp,During,43,0
Simulans,Asobara,During,31,3
Simulans,Leptopilina,During,2,1
Simulans,Leptopilina,During,5,17
Simulans,Ganaspis,During,1,34
Simulans,Ganaspis,During,2,30
Birchii,NoWasp,During,18,0
Birchii,NoWasp,During,17,0
Birchii,Asobara,During,0,3
Birchii,Asobara,During,1,4
Birchii,Ganaspis,During,1,21
Birchii,Ganaspis,During,0,14
Birchii,Leptopilina,During,6,6
Birchii,Leptopilina,During,13,4
Birchii,NoWasp,During,20,0
Birchii,NoWasp,During,28,0
Birchii,Asobara,During,9,9
Birchii,Asobara,During,4,22
Birchii,Ganaspis,During,2,20
Birchii,Ganaspis,During,0,16
Birchii,Leptopilina,During,9,5
Birchii,Leptopilina,During,6,7
Birchii,NoWasp,During,34,0
Birchii,NoWasp,During,22,0
Birchii,Asobara,During,2,14
Birchii,Asobara,During,5,4
Birchii,Ganaspis,During,0,15
Birchii,Ganaspis,During,0,16
Birchii,Leptopilina,During,9,5
Birchii,Leptopilina,During,5,4
Bipectinata,NoWasp,During,30,0
Bipectinata,NoWasp,During,39,0
Bipectinata,Ganaspis,During,36,1
Bipectinata,Asobara,During,29,0
Bipectinata,Asobara,During,34,0
Bipectinata,Leptopilina,During,25,0
Bipectinata,Ganaspis,During,38,1
Bipectinata,Leptopilina,During,35,0
Bipectinata,NoWasp,During,48,0
Bipectinata,Asobara,During,34,0
Bipectinata,Ganaspis,During,45,1
Bipectinata,NoWasp,During,33,0
Bipectinata,Asobara,During,38,0
Bipectinata,Leptopilina,During,35,0
Bipectinata,Ganaspis,During,50,0
Bipectinata,Leptopilina,During,27,0
Bipectinata,NoWasp,During,45,0
Bipectinata,Asobara,During,36,0
Bipectinata,NoWasp,During,37,0
Bipectinata,Asobara,During,9,0
Bipectinata,Leptopilina,During,37,0
Bipectinata,Leptopilina,During,40,0
Bipectinata,Ganaspis,During,33,1
Bipectinata,Ganaspis,During,32,0
Simulans,NoWasp,Before,44,0
Simulans,NoWasp,Before,48,0
Simulans,Ganaspis,Before,5,40
Simulans,Asobara,Before,2,22
Simulans,Asobara,Before,0,16
Simulans,Leptopilina,Before,4,31
Simulans,Ganaspis,Before,0,37
Simulans,Leptopilina,Before,10,25
Simulans,NoWasp,Before,41,0
Simulans,Asobara,Before,0,13
Simulans,Ganaspis,Before,2,33
Simulans,NoWasp,Before,36,0
Simulans,Asobara,Before,2,24
Simulans,Leptopilina,Before,12,12
Simulans,Ganaspis,Before,1,32
Simulans,Leptopilina,Before,10,24
Simulans,NoWasp,Before,42,0
Simulans,Asobara,Before,3,21
Simulans,NoWasp,Before,40,0
Simulans,Asobara,Before,7,27
Simulans,Leptopilina,Before,11,24
Simulans,Leptopilina,Before,5,24
Simulans,Ganaspis,Before,1,33
Simulans,Ganaspis,Before,0,33
Birchii,NoWasp,Before,23,0
Birchii,NoWasp,Before,21,0
Birchii,Asobara,Before,1,13
Birchii,Asobara,Before,0,18
Birchii,Ganaspis,Before,1,19
Birchii,Ganaspis,Before,0,17
Birchii,Leptopilina,Before,3,18
Birchii,Leptopilina,Before,3,15
Birchii,NoWasp,Before,15,0
Birchii,NoWasp,Before,10,0
Birchii,Asobara,Before,1,13
Birchii,Asobara,Before,0,17
Birchii,Ganaspis,Before,2,17
Birchii,Ganaspis,Before,0,4
Birchii,Leptopilina,Before,6,6
Birchii,Leptopilina,Before,1,10
Birchii,NoWasp,Before,24,0
Birchii,NoWasp,Before,16,0
Birchii,Asobara,Before,0,18
Birchii,Asobara,Before,2,24
Birchii,Ganaspis,Before,0,10
Birchii,Ganaspis,Before,0,10
Birchii,Leptopilina,Before,0,28
Birchii,Leptopilina,Before,0,18
Bipectinata,NoWasp,Before,37,0
Bipectinata,NoWasp,Before,25,0
Bipectinata,Ganaspis,Before,31,0
Bipectinata,Asobara,Before,43,0
Bipectinata,Asobara,Before,34,0
Bipectinata,Leptopilina,Before,33,0
Bipectinata,Ganaspis,Before,45,0
Bipectinata,Leptopilina,Before,35,0
Bipectinata,NoWasp,Before,44,0
Bipectinata,Asobara,Before,22,0
Bipectinata,Ganaspis,Before,41,0
Bipectinata,NoWasp,Before,36,0
Bipectinata,Asobara,Before,28,0
Bipectinata,Leptopilina,Before,28,0
Bipectinata,Ganaspis,Before,29,1
Bipectinata,Leptopilina,Before,34,0
Bipectinata,NoWasp,Before,41,0
Bipectinata,Asobara,Before,40,0
Bipectinata,NoWasp,Before,43,0
Bipectinata,Asobara,Before,31,0
Bipectinata,Leptopilina,Before,42,0
Bipectinata,Leptopilina,Before,39,0
Bipectinata,Ganaspis,Before,40,0
Bipectinata,Ganaspis,Before,34,0
Simulans,NoWasp,NO,42,0
Simulans,NoWasp,NO,40,0
Simulans,Ganaspis,NO,2,40
Simulans,Asobara,NO,12,0
Simulans,Asobara,NO,4,18
Simulans,Leptopilina,NO,4,32
Simulans,Ganaspis,NO,3,33
Simulans,Leptopilina,NO,5,24
Simulans,NoWasp,NO,43,0
Simulans,Asobara,NO,1,22
Simulans,Ganaspis,NO,2,40
Simulans,NoWasp,NO,40,0
Simulans,Asobara,NO,0,20
Simulans,Leptopilina,NO,4,16
Simulans,Ganaspis,NO,0,34
Simulans,Leptopilina,NO,5,26
Simulans,NoWasp,NO,43,0
Simulans,Asobara,NO,3,24
Simulans,NoWasp,NO,40,0
Simulans,Asobara,NO,4,24
Simulans,Leptopilina,NO,1,34
Simulans,Leptopilina,NO,7,20
Simulans,Ganaspis,NO,1,41
Simulans,Ganaspis,NO,0,39
Birchii,NoWasp,NO,39,0
Birchii,NoWasp,NO,34,0
Birchii,Asobara,NO,1,16
Birchii,Asobara,NO,3,31
Birchii,Ganaspis,NO,2,40
Birchii,Ganaspis,NO,2,25
Birchii,Leptopilina,NO,10,17
Birchii,Leptopilina,NO,6,28
Birchii,NoWasp,NO,39,0
Birchii,NoWasp,NO,37,0
Birchii,Asobara,NO,5,38
Birchii,Asobara,NO,2,28
Birchii,Ganaspis,NO,5,29
Birchii,Ganaspis,NO,0,21
Birchii,Leptopilina,NO,15,19
Birchii,Leptopilina,NO,4,18
Birchii,NoWasp,NO,42,0
Birchii,NoWasp,NO,34,0
Birchii,Asobara,NO,2,32
Birchii,Asobara,NO,1,37
Birchii,Ganaspis,NO,0,29
Birchii,Ganaspis,NO,0,27
Birchii,Leptopilina,NO,4,17
Birchii,Leptopilina,NO,9,23
Bipectinata,NoWasp,NO,40,0
Bipectinata,NoWasp,NO,50,0
Bipectinata,Ganaspis,NO,37,0
Bipectinata,Asobara,NO,35,0
Bipectinata,Asobara,NO,12,0
Bipectinata,Leptopilina,NO,36,0
Bipectinata,Ganaspis,NO,37,0
Bipectinata,Leptopilina,NO,39,0
Bipectinata,NoWasp,NO,38,0
Bipectinata,Asobara,NO,30,0
Bipectinata,Ganaspis,NO,33,0
Bipectinata,NoWasp,NO,36,0
Bipectinata,Asobara,NO,21,0
Bipectinata,Leptopilina,NO,41,0
Bipectinata,Ganaspis,NO,39,0
Bipectinata,Leptopilina,NO,35,0
Bipectinata,NoWasp,NO,45,0
Bipectinata,Asobara,NO,33,0
Bipectinata,NoWasp,NO,43,0
Bipectinata,Asobara,NO,22,0
Bipectinata,Leptopilina,NO,47,0
Bipectinata,Leptopilina,NO,39,0
Bipectinata,Ganaspis,NO,37,1
Bipectinata,Ganaspis,NO,41,1
